"Month","Display Month","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"01","January  ","18","41","70","110","68","119","175","196","250","91","112","116"
"02","February ","26","45","45","103","78","120","148","188","180","113","87","99"
"03","March    ","40","60","77","143","111","165","189","216","201","114","189","180"
"04","April    ","20","39","97","95","112","171","222","213","137","124","153","152"
"05","May      ","33","59","112","53","74","165","143","215","81","119","137","154"
"06","June     ","45","52","98","78","101","167","170","205","162","141","127","145"
"07","July     ","40","73","82","84","79","187","189","226","179","88","134","160"
"08","August   ","40","84","100","128","112","191","210","250","121","155","91","118"
"09","September","36","40","121","78","83","159","128","210","121","175","145","104"
"10","October  ","82","61","120","65","99","251","215","251","76","142","151","84"
"11","November ","36","51","84","66","86","186","188","176","101","107","133","3"
"12","December ","23","76","93","76","91","187","205","226","116","123","97","1"
